# MTOV      MMAX
2.74288  3.313387423915281
2.74529  3.6068373568613366
2.74557  3.517478986132304
2.75018  3.766214292549099
2.74093  3.4480210416154216
2.73043  3.1231209902644648
2.7321  3.4798320620083136
2.73009  3.45378263699072
2.74497  3.5876230254764283
2.74497  3.4726270355632916
2.73583  3.1946820019007856
2.73661  3.4467402586218867
2.69152  3.2940402712498713
2.68861  3.296071040917391
2.69922  3.4581445210772688
2.70099  3.328384342602808
2.68436  3.4421649026400143
2.70101  3.219595540024443
2.68046  3.299025465848565
2.67411  3.417299658734349
2.67411  3.3134596017954596
2.67496  3.2727795814224723
2.67496  3.5520356567913995
2.71417  3.3367249883702406
2.72897  3.4365822739290843
2.72691  3.487430441674018
2.7278  3.461727199432128
2.72794  3.5103257545009625
2.72905  3.3980558929975917
2.74359  3.5316315098019566
2.74373  3.483371142819344
2.74277  3.224788071584454
2.74277  3.503039389554359
2.74371  3.6111980005505004
2.74091  3.4495926984974683
2.74064  3.6395588389726523
2.7407  3.6780436964546985
2.73939  3.5034046150161333
2.66833  3.223037473141756
2.78058  3.534456538309068
2.74788  3.6172019031810736
2.71498  3.4413784019911593
2.70425  3.5976594555003385
2.72639  3.202120870347812
2.72639  3.471206729875567
2.72957  3.452927195928095
2.72937  3.3133014097936946
2.72975  3.4800059643216383
2.72975  3.3668800561610044
2.70651  3.434576120693165
2.68599  3.2275274416513478
2.67757  3.3352662868228626
2.67686  3.4750792737241767
2.73212  3.517134510417373
2.72335  3.4545336799389186
2.73432  3.584454953917472
2.73412  3.3489264440269535
2.7343  3.3506864526082785
2.67612  3.5055648244781987
2.67648  3.39174930300906
2.67584  3.4162076036294007
2.71393  3.4434711248807237
2.73933  3.580158126430286
2.6848  3.5451792877012873
2.68468  3.5188799464361393
2.70011  3.4845112283874036
2.65954  3.308130207044484
2.6587  3.374687470044532
2.71387  3.2905586993486136
2.71392  3.50135121363992
2.71848  3.430642545043895
2.71893  3.3739672770518023
2.7144  3.521325242752697
2.71421  3.3409698335065463
2.71421  3.5088301008664127
2.71421  3.4726740006033934
2.71688  3.291535620176398
2.71672  3.3899796266304314
2.73009  3.5200362768402
2.73012  3.460178178491428
2.73005  3.4540108029453926
2.73005  3.6353456672821944
2.7317  3.7145168872998653
2.72889  3.4538667587118237
2.72171  3.362827865221498
2.72777  3.4038593234357477
2.71155  3.359583218921349
2.71897  3.41922638638999
2.71916  3.3374702745936085
2.72001  3.2846850553816687
2.70005  3.3550468164129383
2.69706  3.355739771770262
2.70042  3.285373791142915
2.70055  3.294235941201431
2.70026  3.254893929947463
2.71746  3.4131050099279663
2.73286  3.6450893821549437
2.73576  3.6046940423025817
2.73568  3.3302128201503254
2.73428  3.494666440049955
2.72637  3.27646664282721
2.73435  3.3929962284924757
2.72498  3.5211957064546433
2.72498  3.4910634977661044
2.72978  3.413323632492816
2.74128  3.2897324494130777
2.74128  3.446432344783705
2.74439  3.4392722586225606
2.75572  3.475663011125316
2.76728  3.419733810444357
2.70328  3.4491559151306457
2.69449  3.108526417417213
2.69261  3.3977253166510257
2.66821  3.24147753708201
2.66576  3.4857847503832398
2.67202  3.3643845597234443
2.66929  3.119199709322977
2.66692  3.4067995696893427
2.77052  3.5743162843404264
2.77268  3.526789511471772
2.68213  3.4773216699594847
2.69626  3.343142712293233
2.71508  3.3741622184525553
2.71628  3.3490966368148207
2.73438  3.4911585818670754
2.73379  3.4758811039538204
2.734  3.434318051932039
2.75013  3.474880254875343
2.74991  3.4428414172403663
2.69742  3.364446612641982
2.64911  3.3894898847343558
2.65186  3.2127251715414746
2.65207  3.331249109283907
2.65298  3.235428014765243
2.66069  3.282997114176052
2.65327  3.3817221164834437
2.65679  3.234421058031648
2.65138  3.3280873450298407
2.70289  3.269038632696035
2.69781  3.4509825094430306
2.67182  3.366917633072113
2.67151  3.326845150221477
2.6876  3.3120357223421224
2.73486  3.3197328682638765
2.74049  3.36074313168707
2.72997  3.418780128941974
2.72054  3.3710992267099686
2.71939  3.3603419632167117
2.72547  3.509304908943968
2.72304  3.4933165223455886
2.72304  3.397389310860009
2.72349  3.5765669815818906
2.7304  3.3112376329709585
2.7304  3.2843617973735717
2.72854  3.361400435761457
2.72988  3.5293986644319193
2.69583  3.279172735782886
2.69133  3.313756315043953
2.741  3.687620620739427
2.70099  3.2220801275916666
2.70099  3.3749715175281327
2.67083  3.3402671575996288
2.65724  3.450690112438881
2.658  3.2385410953207794
2.658  3.3835732177267177
2.64772  3.3619623198707194
2.65276  3.4280353586704804
2.64466  3.3457574030048587
2.71804  3.5402716184316696
2.72961  3.3997479248485534
2.73449  3.549566555740986
2.73286  3.655433561978062
2.71691  3.353457040521652
2.71466  3.458565353043289
2.71023  3.335006504093476
2.71884  3.3995350726151345
2.71921  3.4943627149293706
2.71921  3.496609493202218
2.67866  3.382915718055472
2.67804  3.302464470332457
2.68433  3.3015527214458964
2.68456  3.4318792475097117
2.73709  3.4412742093285766
2.71815  3.41413692132775
2.69829  3.5665455212627535
2.69847  3.1770105568805542
2.69858  3.236591235094177
2.69803  3.486176123454517
2.74015  3.5031269111603636
2.74267  3.463409998716519
2.73269  3.666714300888559
2.73321  3.4487510708757734
2.73321  3.4374842233320755
2.73385  3.391143399266882
2.73853  3.3276373928766922
2.73235  3.522354268281821
2.70104  3.3415416109765097
2.70247  3.4944389372591598
2.73481  3.293469867448633
2.73481  3.468382558486696
2.73457  3.465791296842666
2.71312  3.4678945260318716
2.75344  3.5211002115051135
2.76524  3.469849471929618
2.7618  3.5177124845716023
2.72926  3.4138267326214633
2.74071  3.60833296477165
2.74071  3.4200254782574637
2.73444  3.489957094232073
2.73377  3.553732309020329
2.72362  3.459985330722738
2.72347  3.496532079206029
2.75189  3.654307452185784
2.76669  3.339625322065653
2.76114  3.5030561675642593
2.76527  3.5384512411564173
2.76507  3.4826897890227793
2.76478  3.5301607830244146
2.76508  3.173986387849405
2.76623  3.3360556033751068
2.76639  3.674386079909432
2.76652  3.4728187516311153
2.75083  3.5428054079329594
2.70665  3.3647075005144376
2.70369  3.5224826682920973
2.71707  3.2548709458942424
2.69988  3.254207828853715
2.69711  3.4783718817818086
2.69968  3.5164141504338517
2.69917  3.31172434591792
2.70178  3.6543075006464982
2.69156  3.4908061105569717
2.69153  3.402416062616058
2.71271  3.224558998767791
2.71191  3.355740347723998
2.71185  3.434317322341862
2.70869  3.398091518807205
2.7089  3.4989867963504
